DATE,DAY,TMIN,year,month
1924-02-18,18,-14.61428816777607,1924,2
1924-03-17,17,-8.914288167776071,1924,3
1924-04-03,3,-7.714288167776072,1924,4
1924-05-06,6,-2.714288167776072,1924,5
1924-06-06,6,-0.8142881677760716,1924,6
1924-07-27,27,2.485711832223928,1924,7
1924-08-28,28,0.28571183222392804,1924,8
1924-09-11,11,-1.5142881677760718,1924,9
1924-10-24,24,-5.914288167776072,1924,10
1924-11-17,17,-11.414288167776071,1924,11
1924-12-13,13,-11.714288167776072,1924,12
1925-01-12,12,-10.11428816777607,1925,1
1925-02-24,24,-8.214288167776072,1925,2
1925-03-13,13,-13.514288167776073,1925,3
1925-04-22,22,-5.214288167776072,1925,4
1925-05-03,3,-2.8142881677760716,1925,5
1925-06-20,20,-1.5142881677760718,1925,6
1925-07-10,10,1.3857118322239286,1925,7
1925-08-16,16,2.085711832223928,1925,8
1925-09-14,14,-2.714288167776072,1925,9
1925-10-15,15,-4.814288167776072,1925,10
1925-11-29,29,-12.414288167776071,1925,11
1925-12-05,5,-15.314288167776073,1925,12
1926-01-15,15,-15.514288167776073,1926,1
1926-02-10,10,-6.814288167776072,1926,2
1926-03-22,22,-9.814288167776072,1926,3
1926-04-11,11,-4.814288167776072,1926,4
1926-05-09,9,-7.514288167776072,1926,5
1926-06-25,25,-1.9142881677760721,1926,6
1926-07-28,28,1.8857118322239286,1926,7
1926-08-27,27,1.1857118322239284,1926,8
1926-09-26,26,-2.014288167776072,1926,9
1926-10-27,27,-6.914288167776072,1926,10
1926-11-02,2,-6.714288167776072,1926,11
1926-12-25,25,-11.61428816777607,1926,12
1927-01-22,22,-8.614288167776072,1927,1
1927-02-09,9,-10.514288167776073,1927,2
1927-03-15,15,-7.814288167776072,1927,3
1927-04-27,27,-6.214288167776072,1927,4
1927-05-12,12,-7.114288167776072,1927,5
1927-06-05,5,0.08571183222392786,1927,6
1927-07-20,20,2.6857118322239275,1927,7
1927-08-26,26,1.4857118322239282,1927,8
1927-09-28,28,-1.714288167776072,1927,9
1927-10-04,4,-3.9142881677760717,1927,10
1927-11-23,23,-10.214288167776072,1927,11
1927-12-18,18,-20.514288167776073,1927,12
1928-01-02,2,-10.914288167776071,1928,1
1928-02-23,23,-9.114288167776072,1928,2
1928-03-11,11,-11.214288167776072,1928,3
1928-04-23,23,-7.014288167776072,1928,4
1928-05-12,12,-6.714288167776072,1928,5
1928-06-16,16,-2.614288167776072,1928,6
1928-07-08,8,1.4857118322239282,1928,7
1928-08-18,18,1.6857118322239284,1928,8
1928-09-23,23,-4.614288167776072,1928,9
1928-10-13,13,-7.814288167776072,1928,10
1928-11-10,10,-10.714288167776072,1928,11
1928-12-14,14,-12.61428816777607,1928,12
1929-01-27,27,-17.214288167776072,1929,1
1929-02-14,14,-23.514288167776073,1929,2
1929-03-01,1,-14.914288167776071,1929,3
1929-04-06,6,-10.214288167776072,1929,4
1929-05-04,4,-7.114288167776072,1929,5
1929-06-25,25,-1.1142881677760714,1929,6
1929-07-08,8,-0.8142881677760716,1929,7
1929-08-20,20,1.285711832223928,1929,8
1929-09-21,21,0.5857118322239279,1929,9
1929-10-27,27,-4.714288167776072,1929,10
1929-11-15,15,-6.714288167776072,1929,11
1929-12-20,20,-12.514288167776073,1929,12
1930-01-28,28,-8.514288167776073,1930,1
1930-02-22,22,-10.714288167776072,1930,2
1930-03-01,1,-7.214288167776072,1930,3
1930-04-20,20,-5.814288167776072,1930,4
1930-05-08,8,-5.714288167776072,1930,5
1930-06-09,9,0.9857118322239282,1930,6
1930-07-11,11,2.085711832223928,1930,7
1930-08-20,20,1.8857118322239286,1930,8
1930-09-28,28,-1.4142881677760721,1930,9
1930-10-27,27,-4.314288167776072,1930,10
1930-11-18,18,-8.014288167776073,1930,11
1930-12-26,26,-10.514288167776073,1930,12
1931-01-09,9,-11.514288167776073,1931,1
1931-02-20,20,-14.914288167776071,1931,2
1931-03-10,10,-15.11428816777607,1931,3
1931-04-01,1,-8.614288167776072,1931,4
1931-05-10,10,-2.114288167776072,1931,5
1931-06-21,21,-0.11428816777607143,1931,6
1931-07-21,21,1.3857118322239286,1931,7
1931-08-24,24,-0.8142881677760716,1931,8
1931-09-24,24,-5.614288167776071,1931,9
1931-10-28,28,-12.414288167776071,1931,10
1931-11-18,18,-7.514288167776072,1931,11
1931-12-23,23,-11.314288167776072,1931,12
1932-01-28,28,-10.914288167776071,1932,1
1932-02-13,13,-15.61428816777607,1932,2
1932-03-12,12,-12.814288167776072,1932,3
1932-04-14,14,-6.414288167776072,1932,4
1932-05-06,6,-5.614288167776071,1932,5
1932-06-07,7,0.08571183222392786,1932,6
1932-07-07,7,2.8857118322239286,1932,7
1932-08-02,2,4.6857118322239275,1932,8
1932-09-22,22,-0.5142881677760718,1932,9
1932-10-06,6,-3.714288167776072,1932,10
1932-11-29,29,-7.914288167776071,1932,11
1932-12-10,10,-11.014288167776073,1932,12
1933-01-26,26,-17.11428816777607,1933,1
1933-02-24,24,-12.214288167776072,1933,2
1933-03-21,21,-8.214288167776072,1933,3
1933-04-15,15,-7.214288167776072,1933,4
1933-05-16,16,-3.714288167776072,1933,5
1933-06-01,1,-0.3142881677760716,1933,6
1933-07-01,1,1.0857118322239279,1933,7
1933-08-25,25,3.285711832223929,1933,8
1933-09-15,15,0.28571183222392804,1933,9
1933-10-30,30,-5.914288167776072,1933,10
1933-11-10,10,-8.814288167776072,1933,11
1933-12-14,14,-18.214288167776072,1933,12
1934-01-24,24,-10.814288167776072,1934,1
1934-02-03,3,-14.014288167776073,1934,2
1934-03-02,2,-9.814288167776072,1934,3
1934-04-10,10,-4.714288167776072,1934,4
1934-05-27,27,-5.114288167776071,1934,5
1934-06-08,8,0.6857118322239284,1934,6
1934-07-04,4,2.285711832223929,1934,7
1934-08-31,31,1.4857118322239282,1934,8
1934-09-01,1,-0.21428816777607196,1934,9
1934-10-18,18,-3.9142881677760717,1934,10
1934-11-22,22,-9.414288167776071,1934,11
1934-12-25,25,-6.914288167776072,1934,12
1935-01-30,30,-13.214288167776072,1935,1
1935-02-10,10,-14.014288167776073,1935,2
1935-03-10,10,-11.61428816777607,1935,3
1935-04-04,4,-8.114288167776072,1935,4
1935-05-14,14,-7.114288167776072,1935,5
1935-06-09,9,1.1857118322239284,1935,6
1935-07-30,30,0.8857118322239286,1935,7
1935-08-05,5,2.485711832223928,1935,8
1935-09-26,26,-1.1142881677760714,1935,9
1935-10-24,24,-8.014288167776073,1935,10
1935-11-26,26,-8.814288167776072,1935,11
1935-12-14,14,-10.714288167776072,1935,12
1936-01-15,15,-10.014288167776073,1936,1
1936-02-12,12,-14.714288167776072,1936,2
1936-03-13,13,-7.614288167776072,1936,3
1936-04-13,13,-7.914288167776071,1936,4
1936-05-31,31,-4.614288167776072,1936,5
1936-06-01,1,-5.114288167776071,1936,6
1936-07-11,11,3.485711832223928,1936,7
1936-08-23,23,1.8857118322239286,1936,8
1936-09-29,29,-4.714288167776072,1936,9
1936-10-11,11,-7.414288167776071,1936,10
1936-11-22,22,-9.714288167776072,1936,11
1936-12-10,10,-10.014288167776073,1936,12
1937-01-29,29,-11.314288167776072,1937,1
1937-02-24,24,-7.014288167776072,1937,2
1937-03-28,28,-7.914288167776071,1937,3
1937-04-26,26,-4.114288167776072,1937,4
1937-05-09,9,-1.9142881677760721,1937,5
1937-06-19,19,-0.6142881677760714,1937,6
1937-07-05,5,0.4857118322239282,1937,7
1937-08-04,4,3.8857118322239286,1937,8
1937-09-24,24,-0.5142881677760718,1937,9
1937-10-19,19,-1.9142881677760721,1937,10
1937-11-28,28,-8.414288167776071,1937,11
1937-12-21,21,-11.11428816777607,1937,12
1938-01-04,4,-14.514288167776073,1938,1
1938-02-16,16,-11.61428816777607,1938,2
1938-03-05,5,-6.414288167776072,1938,3
1938-04-18,18,-9.414288167776071,1938,4
1938-05-09,9,-5.314288167776072,1938,5
1938-06-06,6,-0.6142881677760714,1938,6
1938-07-02,2,2.585711832223928,1938,7
1938-08-26,26,2.1857118322239275,1938,8
1938-09-16,16,-3.3142881677760716,1938,9
1938-10-26,26,-7.614288167776072,1938,10
1938-11-27,27,-4.714288167776072,1938,11
1938-12-20,20,-20.814288167776073,1938,12
1939-01-31,31,-9.714288167776072,1939,1
1939-02-03,3,-15.11428816777607,1939,2
1939-03-19,19,-10.61428816777607,1939,3
1939-04-08,8,-3.9142881677760717,1939,4
1939-05-03,3,-3.014288167776072,1939,5
1939-06-14,14,-3.3142881677760716,1939,6
1939-07-13,13,1.9857118322239282,1939,7
1939-08-14,14,2.6857118322239275,1939,8
1939-09-28,28,-4.514288167776072,1939,9
1939-10-23,23,-6.114288167776071,1939,10
1939-11-22,22,-8.914288167776071,1939,11
1939-12-22,22,-13.61428816777607,1939,12
1940-01-22,22,-24.41428816777607,1940,1
1940-02-14,14,-21.314288167776073,1940,2
1940-03-15,15,-9.814288167776072,1940,3
1940-04-12,12,-5.714288167776072,1940,4
1940-05-13,13,-3.714288167776072,1940,5
1940-06-28,28,0.4857118322239282,1940,6
1940-07-29,29,2.1857118322239275,1940,7
1940-08-29,29,-0.3142881677760716,1940,8
1940-09-30,30,-3.4142881677760717,1940,9
1940-10-30,30,-11.314288167776072,1940,10
1940-11-30,30,-8.814288167776072,1940,11
1940-12-23,23,-14.714288167776072,1940,12
1941-01-17,17,-16.214288167776072,1941,1
1941-02-06,6,-14.214288167776072,1941,2
1941-03-31,31,-8.814288167776072,1941,3
1941-04-09,9,-7.514288167776072,1941,4
1941-05-04,4,-7.114288167776072,1941,5
1941-06-14,14,-2.114288167776072,1941,6
1941-07-05,5,1.4857118322239282,1941,7
1941-08-07,7,2.785711832223929,1941,8
1941-09-09,9,-1.6142881677760714,1941,9
1941-10-25,25,-6.014288167776072,1941,10
1941-11-15,15,-10.714288167776072,1941,11
1941-12-29,29,-14.714288167776072,1941,12
1942-01-22,22,-23.614288167776074,1942,1
1942-02-08,8,-20.11428816777607,1942,2
1942-03-06,6,-9.514288167776073,1942,3
