time,observed,lower,median,upper,truth
372,27.890627435848597,27.08850545316088,27.18771670245336,27.310791849517248,27.232000000000085
373,28.532239490192005,27.07648219077974,27.177958528591805,27.29973359032672,27.238000000000085
374,25.69463237641514,27.091275152705723,27.199316724755974,27.314982867151187,27.244000000000085
375,29.77111014320458,27.071166192072866,27.20079083314534,27.30844137967566,27.250000000000085
376,29.62162593194952,27.10386622989173,27.207026679559696,27.335670996647877,27.256000000000085
377,27.98885379867975,27.10469482076508,27.206664660366556,27.327590798478994,27.26200000000009
378,25.18241130675468,27.063016314215446,27.20012835181305,27.331141334535218,27.26800000000009
379,30.71470412185161,27.017863034741175,27.210690548051236,27.344553827683125,27.27400000000009
380,30.04276505075175,27.02007065670842,27.228880087727127,27.36952420326183,27.280000000000086
381,29.15420739812332,27.04387197744114,27.235333546995793,27.37992711016766,27.286000000000087
382,26.240503832645537,27.022197732773122,27.23737795217068,27.380973045761266,27.292000000000087
383,27.65999240425297,27.00557709504493,27.241218447613903,27.382978999096398,27.298000000000087
384,27.71564278501646,27.027600649022485,27.236538413472633,27.376729698466864,27.304000000000087
385,24.702365733828103,27.04380538797485,27.225397241956408,27.37481245788617,27.310000000000088
386,28.178994974612248,27.096455502172503,27.2518920710532,27.385317771479023,27.316000000000088
387,27.796278399636066,27.133107852424494,27.273995411457037,27.40776747059401,27.322000000000088
388,26.091493390214247,27.143476698003393,27.289611479735655,27.42313070748432,27.328000000000088
389,29.8175357965092,27.13044853767299,27.289891266924748,27.426533953993328,27.33400000000009
390,28.698097522197,27.16698231495842,27.301994077752745,27.43316006825165,27.34000000000009
391,27.09285938056306,27.15954034263845,27.313403192076105,27.479947679414202,27.34600000000009
392,30.706115727993645,27.15084615853999,27.319861635144406,27.493256224137642,27.35200000000009
393,28.063066123967825,27.13025317928002,27.32320090076685,27.52975719828463,27.35800000000009
394,28.36128410875557,27.180042151354122,27.33393690769502,27.574901806055067,27.36400000000009
395,28.65231705532567,27.177887743125865,27.33999093553374,27.534795282294485,27.37000000000009
396,25.93824427985034,27.170947304736334,27.350297181488546,27.51362311639795,27.37600000000009
397,26.451245254740805,27.2195868093069,27.35664073602488,27.491300538992718,27.38200000000009
398,29.48784211533774,27.24234525463055,27.362310065159807,27.494973134966777,27.38800000000009
399,28.97961598611311,27.159212310471148,27.36772095480793,27.501641936677224,27.39400000000009
400,28.62520342730442,27.19012257595676,27.364866617620756,27.491662284225917,27.40000000000009
401,28.83439796965093,27.175653605780923,27.357437080005194,27.489014595924257,27.40600000000009
402,28.791760468611542,27.180828478148783,27.35263255683243,27.482290465127,27.41200000000009
403,24.725289972529733,27.15394014963799,27.35603795303625,27.480626569697208,27.41800000000009
404,27.74155381001004,27.181619927227967,27.37162393170625,27.48864045538822,27.42400000000009
405,26.787876971226023,27.14701574607022,27.37475819179754,27.492953157720876,27.43000000000009
406,26.728662452937,27.174775162815227,27.382636552579445,27.507437052327564,27.43600000000009
407,27.08735462855815,27.192500028356996,27.385075673624325,27.513502506161945,27.442000000000093
408,24.9355419640234,27.197422075857805,27.388879256480585,27.51598861438208,27.448000000000093
409,28.208026498022853,27.171707280877836,27.386207464375865,27.5165688871533,27.454000000000093
410,25.53417394444024,27.22688137153779,27.3874810430466,27.523277606201017,27.460000000000093
411,26.424126901911382,27.21089568409609,27.377545810910092,27.530507600509754,27.466000000000093
412,28.36925717856078,27.209625054607223,27.386421036228548,27.536073175787504,27.472000000000094
413,27.427204932073355,27.213137386559968,27.39016229645688,27.540208957237407,27.47800000000009
414,25.049519945123205,27.247144132552407,27.412216278331602,27.547225321757818,27.48400000000009
415,27.610008700232623,27.20283051576654,27.392806738996292,27.553687293941923,27.49000000000009
416,28.77246158535968,27.19862376401517,27.395043878994287,27.561664314960478,27.49600000000009
417,27.939543555647763,27.178968462472522,27.38378992201543,27.563841065106853,27.50200000000009
418,29.090419997968137,27.216113451879,27.41049668609852,27.573073210494236,27.50800000000009
419,27.12088892713558,27.242747057263188,27.415106339267773,27.580845078918184,27.51400000000009
420,28.405375113574323,27.25994318033447,27.43449071105129,27.590141064865314,27.520000000000092
421,30.11320009882244,27.266417376688022,27.428125259885796,27.593629548018733,27.526000000000096
422,28.74704240926214,27.263629987094205,27.442088094548474,27.600021782569005,27.532000000000096
423,28.454050003363744,27.255005877031326,27.45678156016486,27.615164085232134,27.538000000000096
424,28.581978825387136,27.240744732305107,27.475641180027527,27.635566584497166,27.544000000000096
425,28.142193501509723,27.256295743886906,27.47827165191692,27.627731728513112,27.550000000000097
